"Latitude (decimal degrees):	30.061",,,,,,,,
"Longitude (decimal degrees):	76.760",,,,,,,,
"Elevation (m):	256",,,,,,,,
"Radiation database:	PVGIS-ERA5",,,,,,,,
,,,,,,,,
,,,,,,,,
Slope: 29 deg. ,,,,,,,,
Azimuth: 0 deg. ,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	5.0",,,,,,,,
"System losses (%):	14.0",,,,,,,,
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180703:0830,2355.75,421.98,200.26,8.35,68.05,32.16,1.86,0
20180703:0930,1753.35,277.37,186.26,6.36,55.2,32.79,1.38,0
20180703:1030,1409.75,218.82,157.41,5.42,42.23,32.58,1.31,0
20180703:1130,814,125.35,107.36,3.71,29.38,32.51,1.1,0
20180703:1230,243,26.22,63.86,1.75,16.79,32.13,1.24,0
20180703:1330,24.6,0,16.35,0.23,4.64,31.15,0.48,0
20180703:1430,0,0,0,0,0,29.79,1.45,0
20180703:1530,0,0,0,0,0,28.98,2.28,0
20180703:1630,0,0,0,0,0,28.36,2.9,0
20180703:1730,0,0,0,0,0,27.3,3.38,0
20180703:1830,0,0,0,0,0,26.42,3.45,0
20180703:1930,0,0,0,0,0,27.55,2.62,0
20180703:2030,0,0,0,0,0,27.28,2.55,0
20180703:2130,0,0,0,0,0,27.27,2.41,0
20180703:2230,0,0,0,0,0,26.89,2.21,0
20180703:2330,0,0,0,0,0,26.41,1.79,0
20180704:0030,39.15,0,20.93,0.29,5.78,26.11,1.59,0
20180704:0130,231.9,24.97,58.12,1.52,17.99,26.17,1.59,0
20180704:0230,668.2,77.54,108.91,2.82,30.61,26.67,1.24,0
20180704:0330,1065.05,113.09,168.32,3.94,43.48,27.19,0.34,0
20180704:0430,1780.95,286.12,176.68,6.34,56.46,27.81,0.55,0
20180704:0530,2348.25,373.53,245.46,8.27,69.27,29.08,0.97,0
20180704:0630,2477.9,449.12,207.12,8.7,80.61,30.56,1.24,0
20180704:0730,2744.5,523.87,204.57,9.67,79.73,31.45,2,0
20180704:0830,2456.45,462.94,182.11,8.67,68.06,32.26,2.55,0
20180704:0930,1487.4,219.15,170.11,5.33,55.21,32.63,2.76,0
20180704:1030,1216.4,189.25,133.52,4.64,42.24,31.93,2.28,0
20180704:1130,642.4,87.83,95.84,2.86,29.38,30.13,3.17,0
20180704:1230,190.05,12.36,56.63,1.17,16.79,28.3,2.41,0
20180704:1330,30.45,0,18.19,0.25,4.63,28.14,2.14,0
20180704:1430,0,0,0,0,0,27.64,1.38,0
20180704:1530,0,0,0,0,0,27.15,1.31,0
20180704:1630,0,0,0,0,0,26.71,1.31,0
20180704:1730,0,0,0,0,0,26.32,1.24,0
20180704:1830,0,0,0,0,0,26.02,0.9,0
20180704:1930,0,0,0,0,0,25.92,1.17,0
20180704:2030,0,0,0,0,0,25.65,1.45,0
20180704:2130,0,0,0,0,0,25.42,1.52,0
20180704:2230,0,0,0,0,0,25.35,1.45,0
20180704:2330,0,0,0,0,0,25.01,1.45,0
20180705:0030,48.85,0,23.89,0.33,5.7,24.86,1.38,0
20180705:0130,320.1,46.78,66.4,2.3,17.91,25.46,1.24,0
20180705:0230,1085.75,190.11,106.16,4.77,30.54,27.13,1.31,0
20180705:0330,1893.7,354.49,138.91,7.16,43.41,29.05,1.79,0
20180705:0430,2565.15,519.45,151.39,9.27,56.39,30.64,2.48,0
20180705:0530,2987.85,621.3,168.53,10.62,69.2,31.91,3.03,0
20180705:0630,2848.55,563.44,187.93,9.97,80.51,32.81,3.31,0
20180705:0730,2762.95,507.36,223.58,9.69,79.69,33.56,3.38,0
20180705:0830,2728.15,540.85,177.93,9.66,68.06,33.85,3.72,0
20180705:0930,2334.8,458.17,152.88,8.45,55.21,34.22,4.07,0
20180705:1030,1775.1,333.95,133.86,6.84,42.24,34.26,4.21,0
20180705:1130,894.05,142.22,110.87,4.05,29.38,33.97,4.34,0
20180705:1230,216.35,19.91,59.93,1.47,16.79,31.32,4.21,0
20180705:1330,30.35,0,18.32,0.26,4.62,30.75,3.17,0
20180705:1430,0,0,0,0,0,29.93,2.69,0
20180705:1530,0,0,0,0,0,29.23,2.41,0
20180705:1630,0,0,0,0,0,28.81,2.34,0
20180705:1730,0,0,0,0,0,28.36,2.41,0
20180705:1830,0,0,0,0,0,28.04,2.34,0
20180705:1930,0,0,0,0,0,27.81,2.55,0
20180705:2030,0,0,0,0,0,27.48,2.55,0
20180705:2130,0,0,0,0,0,27.18,2.62,0
20180705:2230,0,0,0,0,0,26.9,2.48,0
20180705:2330,0,0,0,0,0,26.64,2.48,0
20180706:0030,55.25,0,26,0.36,5.62,26.51,2.55,0
20180706:0130,323.9,48.43,66.78,2.35,17.84,26.84,2.34,0
20180706:0230,1105.55,196.47,104.62,4.85,30.47,28.23,2.83,0
20180706:0330,1804,329.22,136.52,6.75,43.34,29.79,3.52,0
20180706:0430,2589.15,516.8,153.48,9.25,56.32,31.17,3.93,0
20180706:0530,2883.2,573.11,181,10.11,69.12,32.36,4.07,0
20180706:0630,3108.85,643.68,178.71,10.91,80.41,33.22,3.93,0
20180706:0730,3146.1,672.41,169.08,11.18,79.65,34.11,3.45,0
20180706:0830,2734.55,556.61,167.23,9.73,68.05,34.79,3.72,0
20180706:0930,2313.25,450.11,158.18,8.4,55.22,35.05,4,0
20180706:1030,1647.4,313.3,122.59,6.36,42.25,34.92,4.07,0
20180706:1130,921.35,167.26,94.93,4.27,29.38,34.49,4.14,0
20180706:1230,262.2,36.57,63.18,2.08,16.78,33.98,4.07,0
20180706:1330,34.9,0,20.03,0.28,4.61,33.05,3.38,0
20180706:1430,0,0,0,0,0,31.8,3.1,0
20180706:1530,0,0,0,0,0,30.89,2.9,0
20180706:1630,0,0,0,0,0,30.1,2.76,0
20180706:1730,0,0,0,0,0,29.49,2.69,0
20180706:1830,0,0,0,0,0,28.94,2.76,0
20180706:1930,0,0,0,0,0,28.54,2.55,0
20180706:2030,0,0,0,0,0,28.09,2.28,0
20180706:2130,0,0,0,0,0,27.66,2.14,0
20180706:2230,0,0,0,0,0,27.23,2,0
20180706:2330,0,0,0,0,0,26.83,1.93,0
20180707:0030,54.65,0,25.82,0.36,5.53,26.47,1.93,0
20180707:0130,334.55,51.11,68,2.46,17.76,26.94,1.52,0
20180707:0230,1102.5,198.9,103.81,4.88,30.39,28.81,1.72,0
20180707:0330,1907.2,367.99,131,7.25,43.27,30.7,2.28,0
20180707:0430,2570.9,522.07,152.1,9.3,56.25,32.31,3.1,0
20180707:0530,2900.5,602.46,167.08,10.32,69.04,33.5,3.24,0
20180707:0630,2910.2,612.42,164.47,10.31,80.31,34.45,3.1,0
20180707:0730,2708.3,535.09,185.32,9.55,79.6,35.07,3.31,0
20180707:0830,2876.25,597.83,170.34,10.32,68.05,35.57,3.66,0
20180707:0930,2356.55,460.33,163.23,8.6,55.22,36.25,4.14,0
20180707:1030,1723.6,332.48,126.2,6.69,42.24,36.4,4.34,0
20180707:1130,943.9,165,104.51,4.36,29.38,36.15,4.41,0
20180707:1230,272.95,41.81,63.48,2.25,16.77,35.57,4,0
20180707:1330,36.95,0,20.84,0.29,4.59,34.49,3.31,0
20180707:1430,0,0,0,0,0,32.98,2.83,0
20180707:1530,0,0,0,0,0,31.83,2.62,0
20180707:1630,0,0,0,0,0,30.96,2.62,0
20180707:1730,0,0,0,0,0,30.28,2.55,0
20180707:1830,0,0,0,0,0,29.59,2.28,0
20180707:1930,0,0,0,0,0,29.35,2,0
20180707:2030,0,0,0,0,0,28.72,1.79,0
20180707:2130,0,0,0,0,0,28.02,1.52,0
20180707:2230,0,0,0,0,0,27.4,1.45,0
20180707:2330,0,0,0,0,0,26.94,1.59,0
20180708:0030,50.55,0,24.57,0.34,5.45,26.52,1.38,0
20180708:0130,327.8,51.46,66.33,2.44,17.68,27,0.76,0
20180708:0230,1073.6,193.8,104.26,4.79,30.32,29.75,0.76,0
20180708:0330,1837,359.21,129.21,7.09,43.2,31.84,1.1,0
20180708:0430,2510,521.19,151.71,9.27,56.17,33.4,1.59,0
20180708:0530,2718.55,559.74,170.54,9.78,68.96,34.79,2.34,0
20180708:0630,2437.95,435.65,215.23,8.6,80.2,35.76,2.83,0
20180708:0730,2697.05,537.66,187.86,9.61,79.54,35.76,2.62,0
20180708:0830,2724.1,557.38,175.56,9.83,68.03,36.47,3.03,0
20180708:0930,2331.8,464.29,157.87,8.58,55.21,36.86,3.38,0
20180708:1030,1772.15,348.69,125.83,6.92,42.24,37.03,3.72,0
20180708:1130,965.45,178.12,99.12,4.51,29.37,36.91,3.66,0
20180708:1230,267.35,40.11,63.25,2.18,16.76,36.33,3.31,0
20180708:1330,33.4,0,19.67,0.27,4.56,35.24,2.48,0
20180708:1430,0,0,0,0,0,33.78,2.07,0
20180708:1530,0,0,0,0,0,32.8,1.93,0
20180708:1630,0,0,0,0,0,32.08,1.72,0
20180708:1730,0,0,0,0,0,31.29,1.38,0
20180708:1830,0,0,0,0,0,30.39,1.17,0
20180708:1930,0,0,0,0,0,29.92,1.31,0
20180708:2030,0,0,0,0,0,29.63,1.79,0
20180708:2130,0,0,0,0,0,29.47,2.34,0
20180708:2230,0,0,0,0,0,29.26,3.03,0
20180708:2330,0,0,0,0,0,28.66,3.38,0
20180709:0030,48.25,0,23.98,0.33,5.36,28.1,3.24,0
20180709:0130,311.1,43.23,67.52,2.21,17.6,28.25,3.38,0
20180709:0230,926.65,139.75,114.36,3.98,30.24,29.19,4.14,0
20180709:0330,1673.65,275.47,157.48,6.2,43.13,30.59,4.21,0
20180709:0430,2261.15,412.69,174.68,8.05,56.1,32.28,3.66,0
20180709:0530,2439.05,433.76,210.99,8.6,68.88,33.69,2.76,0
20180709:0630,2537,432.21,252.12,9.03,80.09,34.39,1.72,0
20180709:0730,2756.6,517.83,221.2,9.76,79.48,34.81,2.76,0
20180709:0830,2364.5,420.4,212.95,8.46,68.02,35.34,2.21,0
20180709:0930,2025.2,343.59,200.49,7.44,55.2,35.94,1.79,0
20180709:1030,1437.7,217.92,172.36,5.57,42.23,36.23,1.45,0
20180709:1130,765.85,113.2,108.99,3.47,29.36,35.48,1.17,0
20180709:1230,264.4,25.01,70.74,1.77,16.74,34.55,1.03,0
20180709:1330,27.75,0,17.61,0.25,4.53,33.79,2,0
20180709:1430,0,0,0,0,0,32.48,2.48,0
20180709:1530,0,0,0,0,0,31.28,3.17,0
20180709:1630,0,0,0,0,0,30.66,3.17,0
20180709:1730,0,0,0,0,0,30.22,2.97,0
20180709:1830,0,0,0,0,0,29.93,2.97,0
20180709:1930,0,0,0,0,0,29.34,3.38,0
20180709:2030,0,0,0,0,0,28.57,3.24,0
20180709:2130,0,0,0,0,0,28.19,3.45,0
20180709:2230,0,0,0,0,0,27.87,2.76,0
20180709:2330,0,0,0,0,0,27.66,2.34,0
20180710:0030,36.8,0,20.26,0.28,5.27,27.46,2,0
20180710:0130,270,30.01,65.4,1.77,17.51,27.78,2,0
20180710:0230,743.8,107.76,99.85,3.21,30.16,28.63,2.69,0
20180710:0330,899.4,127.9,111.35,3.39,43.05,29.67,3.03,0
20180710:0430,1650.9,235.16,189.9,5.78,56.02,30.08,3.24,0
20180710:0530,1769.85,276.36,179.54,6.08,68.79,31.34,3.52,0
20180710:0630,2519.5,456.75,201.97,8.7,79.97,32.74,3.45,0
20180710:0730,1999.55,293.48,234.66,6.97,79.41,33.7,2.21,0
20180710:0830,2298.8,403.05,207.88,8.15,67.99,34.06,2.14,0
20180710:0930,2003.25,341.22,192.87,7.3,55.19,34.51,1.72,0
20180710:1030,1358.4,219.92,144.77,5.22,42.22,34.89,2.07,0
20180710:1130,869.45,141.51,106.31,3.93,29.34,34.51,3.1,0
20180710:1230,256.7,32.91,63.57,1.92,16.71,33.82,3.52,0
20180710:1330,28.15,0,17.7,0.25,4.5,32.87,3.17,0
20180710:1430,0,0,0,0,0,31.62,2.55,0
20180710:1530,0,0,0,0,0,30.93,2.28,0
20180710:1630,0,0,0,0,0,30.29,2.62,0
20180710:1730,0,0,0,0,0,29.81,2.9,0
20180710:1830,0,0,0,0,0,29.34,3.17,0
20180710:1930,0,0,0,0,0,28.85,3.86,0
20180710:2030,0,0,0,0,0,28.37,4.34,0
20180710:2130,0,0,0,0,0,28.06,4.28,0
20180710:2230,0,0,0,0,0,27.48,3.79,0
20180710:2330,0,0,0,0,0,26.82,3.03,0
20180711:0030,25.8,0,16.48,0.23,5.17,26.35,2.97,0
20180711:0130,215.35,15.73,59.87,1.27,17.43,26.33,2.97,0
20180711:0230,724.6,76.96,122.46,2.98,30.08,26.83,3.38,0
20180711:0330,1150.6,127.16,171.88,4.18,42.97,28.01,3.72,0
20180711:0430,1339,150.09,195.89,4.68,55.95,29.7,3.86,0
20180711:0530,1480.7,158.5,224.08,5.09,68.71,30.49,3.86,0
20180711:0630,1817.2,175.86,295.93,6.24,79.85,31.36,3.66,0
20180711:0730,2406.3,400.54,223.7,8.23,79.33,31.71,3.66,0
20180711:0830,2481.95,414.29,236.69,8.67,67.97,32.73,3.31,0
20180711:0930,1298,183.83,159.15,4.67,55.18,33.31,2.28,0
20180711:1030,1087.55,153.6,139.65,4.15,42.2,33.24,1.38,0
20180711:1130,811.6,114.32,117.24,3.59,29.32,33.32,1.31,0
20180711:1230,233.15,21.59,63.87,1.55,16.68,33.08,1.38,0
20180711:1330,24.05,0,16.21,0.23,4.46,32.36,1.52,0
20180711:1430,0,0,0,0,0,31.47,1.24,0
20180711:1530,0,0,0,0,0,30.75,1.66,0
20180711:1630,0,0,0,0,0,30.24,2.14,0
20180711:1730,0,0,0,0,0,29.68,2.69,0
20180711:1830,0,0,0,0,0,28.91,2.76,0
20180711:1930,0,0,0,0,0,27.94,2.21,0
20180711:2030,0,0,0,0,0,26.98,2.55,0
20180711:2130,0,0,0,0,0,26.41,2.69,0
20180711:2230,0,0,0,0,0,26.06,3.24,0
20180711:2330,0,0,0,0,0,25.85,3.45,0
20180712:0030,25.4,0,16.3,0.23,5.08,25.78,3.03,0
20180712:0130,204.7,14.24,57.94,1.2,17.34,25.93,3.38,0
20180712:0230,578.65,58.38,104.38,2.41,30,26.46,2.97,0
20180712:0330,1088.6,106.14,177.59,3.94,42.9,27.18,2.9,0
20180712:0430,1148.35,103.94,195.59,4.04,55.87,28.61,2.48,0
20180712:0530,1422.55,158.47,209.19,4.89,68.62,29.59,2.9,0
20180712:0630,1693,202.92,233.22,5.76,79.72,30.47,3.59,0
20180712:0730,2326.65,432.83,171.25,7.97,79.25,31.88,3.1,0
20180712:0830,2501.75,484.38,177.5,8.83,67.94,32.79,2.21,0
20180712:0930,1904.45,338.05,167.05,6.9,55.16,33.68,1.52,0
20180712:1030,1245.35,203.14,131.21,4.77,42.18,34.17,1.79,0
20180712:1130,833.4,123.63,111.28,3.67,29.3,31.9,2.76,0
20180712:1230,178.75,14.65,52.69,1.17,16.65,30.79,3.86,0
20180712:1330,23.55,0,15.9,0.22,4.42,30.24,3.66,0
20180712:1430,0,0,0,0,0,29.46,3.79,0
20180712:1530,0,0,0,0,0,29.03,3.38,0
20180712:1630,0,0,0,0,0,28.68,3.24,0
20180712:1730,0,0,0,0,0,28.41,3.38,0
20180712:1830,0,0,0,0,0,28.14,3.24,0
20180712:1930,0,0,0,0,0,27.65,3.03,0
20180712:2030,0,0,0,0,0,27.4,3.24,0
20180712:2130,0,0,0,0,0,27.23,3.38,0
20180712:2230,0,0,0,0,0,27.06,3.03,0
20180712:2330,0,0,0,0,0,26.8,2.41,0
20180713:0030,34.1,0,19.31,0.27,4.98,26.58,2.34,0
20180713:0130,268.65,14.61,74.29,1.43,17.25,26.66,2.83,0
20180713:0230,663.45,60.86,123.36,2.71,29.92,27.33,3.1,0
20180713:0330,961.8,92.19,161.7,3.52,42.82,28.11,2.69,0
20180713:0430,1313.6,153.4,186.2,4.59,55.79,28.78,2.69,0
20180713:0530,1539.9,143.18,255.76,5.3,68.53,29.64,2.76,0
20180713:0630,1426.25,101.21,270.78,4.93,79.59,30.37,2.97,0
20180713:0730,1390.35,97.46,269.78,4.87,79.16,31.05,1.52,0
20180713:0830,1461.85,99.07,287.72,5.15,67.9,31.88,1.86,0
20180713:0930,1131.85,90.07,208.41,4.02,55.13,31.27,3.52,0
20180713:1030,1118.85,70.99,224.16,4.05,42.16,29.56,3.03,0
20180713:1130,580,34.44,130.06,2.35,29.27,30.01,3.52,0
20180713:1230,280.85,11.98,80.68,1.47,16.62,30.01,2.34,0
20180713:1330,36.25,0,20.26,0.28,4.37,29.87,2.41,0
20180713:1430,0,0,0,0,0,29.12,2,0
20180713:1530,0,0,0,0,0,28.46,2.21,0
20180713:1630,0,0,0,0,0,28,2.34,0
20180713:1730,0,0,0,0,0,27.6,2.34,0
20180713:1830,0,0,0,0,0,27.31,2.14,0
20180713:1930,0,0,0,0,0,27.06,1.66,0
20180713:2030,0,0,0,0,0,26.79,1.45,0
20180713:2130,0,0,0,0,0,26.54,1.31,0
20180713:2230,0,0,0,0,0,26.28,1.24,0
20180713:2330,0,0,0,0,0,26.2,1.03,0
20180714:0030,32.7,0,18.82,0.26,4.88,26.02,1.1,0
20180714:0130,277.05,28.9,67.71,1.77,17.16,26.54,1.1,0
20180714:0230,704.6,92.03,104.91,2.99,29.83,27.64,1.59,0
20180714:0330,1163.8,140.68,163.77,4.26,42.74,28.59,2.41,0
20180714:0430,1744.75,236.13,212.85,6.07,55.71,29.88,3.31,0
20180714:0530,1586.05,210.05,198.37,5.43,68.44,30.55,3.59,0
20180714:0630,2180.8,341.31,221.08,7.4,79.46,31.11,3.66,0
20180714:0730,1602.9,182.86,232.45,5.48,79.06,31.07,3.31,0
20180714:0830,2001.25,252.14,259.68,6.79,67.86,29.11,3.79,0
20180714:0930,1347.8,155.94,193.59,4.72,55.1,30.22,3.45,0
20180714:1030,1565.5,249.67,157.69,5.8,42.13,30.64,3.45,0
20180714:1130,818.2,107.73,121.33,3.51,29.23,31.3,3.38,0
20180714:1230,258,23.63,68.21,1.66,16.58,31.06,3.31,0
20180714:1330,28.35,0,17.61,0.25,4.32,30.43,3.17,0
20180714:1430,0,0,0,0,0,29.37,2.97,0
20180714:1530,0,0,0,0,0,28.54,2.62,0
20180714:1630,0,0,0,0,0,27.98,2.34,0
20180714:1730,0,0,0,0,0,27.52,2.21,0
20180714:1830,0,0,0,0,0,27.24,2.41,0
20180714:1930,0,0,0,0,0,27.07,2.62,0
20180714:2030,0,0,0,0,0,26.92,2.28,0
20180714:2130,0,0,0,0,0,26.73,2.41,0
20180714:2230,0,0,0,0,0,26.3,2.21,0
20180714:2330,0,0,0,0,0,26.12,1.79,0
20180715:0030,23.05,0,15.49,0.22,4.78,26.08,1.93,0
20180715:0130,140.55,8.68,44.69,0.85,17.07,26.15,2.55,0
20180715:0230,339.5,25.89,76.45,1.47,29.75,26.58,3.72,0
20180715:0330,655.2,37.64,140.01,2.43,42.66,26.72,3.93,0
20180715:0430,846.65,41.54,182.45,3.01,55.63,27.16,3.86,0
20180715:0530,1180.5,54.59,251.04,4.07,68.35,27.66,4.34,0
20180715:0630,3189.8,641.73,175.9,10.75,79.32,28.37,4.69,0
20180715:0730,2915.5,574.46,192.44,10.08,78.96,32.94,3.86,0
20180715:0830,2708.6,527.78,186.47,9.49,67.81,33.55,3.45,0
20180715:0930,2124.4,380.8,177.65,7.6,55.07,33.84,2.97,0
20180715:1030,1564.7,268.68,147.05,5.93,42.1,33.97,2.55,0
20180715:1130,786.95,113.11,111.75,3.47,29.2,33.76,2,0
20180715:1230,251.75,19.82,69.58,1.56,16.53,33.05,2.28,0
20180715:1330,28.3,0,17.65,0.25,4.27,31.28,2.41,0
20180715:1430,0,0,0,0,0,30.34,2,0
20180715:1530,0,0,0,0,0,29.68,2.07,0
20180715:1630,0,0,0,0,0,29.15,2.07,0
20180715:1730,0,0,0,0,0,28.71,2.14,0
20180715:1830,0,0,0,0,0,28.37,2.34,0
20180715:1930,0,0,0,0,0,28.73,2.62,0
20180715:2030,0,0,0,0,0,28.21,2.21,0
20180715:2130,0,0,0,0,0,27.9,2.14,0
20180715:2230,0,0,0,0,0,27.39,2.28,0
20180715:2330,0,0,0,0,0,26.71,2.62,0
20180716:0030,13,0,11.77,0.16,4.68,26.41,2.55,0
20180716:0130,183.6,2.67,59.83,0.88,16.98,26.27,2.28,0
20180716:0230,607.4,28.99,139.45,2.37,29.67,26.67,2.97,0
20180716:0330,1112.3,95.7,194.67,4,42.58,27.81,3.17,0
20180716:0430,1422.7,118.65,249.79,4.95,55.54,28.89,2.9,0
20180716:0530,1403.55,124.77,239.83,4.84,68.25,29.88,2.9,0
20180716:0630,1132.95,57.59,240.63,3.96,79.17,30.04,3.1,0
20180716:0730,1241.75,53.13,270.29,4.3,78.85,29.36,4.34,0
20180716:0830,1273.95,82.61,248.72,4.41,67.76,29.89,4.28,0
20180716:0930,1117.25,45.57,248.83,3.95,55.03,30.29,4.07,0
20180716:1030,736.15,24.45,176.98,2.73,42.06,30.59,3.17,0
20180716:1130,397.1,4.86,113.02,1.6,29.16,30.79,2.28,0
20180716:1230,225.3,3.92,71.19,1.08,16.48,30.24,1.72,0
20180716:1330,18.4,0,14.01,0.2,4.2,30.01,1.66,0
20180716:1430,0,0,0,0,0,29.28,1.59,0
20180716:1530,0,0,0,0,0,28.66,1.93,0
20180716:1630,0,0,0,0,0,28.35,2.14,0
20180716:1730,0,0,0,0,0,28.14,2.21,0
20180716:1830,0,0,0,0,0,28,2.28,0
20180716:1930,0,0,0,0,0,28.27,2.28,0
20180716:2030,0,0,0,0,0,28.22,2.62,0
20180716:2130,0,0,0,0,0,28.08,2.62,0
20180716:2230,0,0,0,0,0,27.96,2.62,0
20180716:2330,0,0,0,0,0,27.74,2.28,0
20180717:0030,12.65,0,11.68,0.16,4.58,27.41,1.24,0
20180717:0130,133.8,0.11,48.47,0.65,16.89,27.2,0.21,0
20180717:0230,368.75,2.2,107.05,1.47,29.58,27.11,0.28,0
20180717:0330,771.25,30.95,177.71,2.83,42.5,27.62,0.97,0
20180717:0430,1219.55,63.36,256.68,4.29,55.46,28.48,1.66,0
20180717:0530,1861.6,191.33,293.69,6.42,68.15,29.93,2.07,0
20180717:0630,1899.85,189.93,310.55,6.59,79.03,31.21,1.66,0
20180717:0730,2060.2,206.24,338.54,7.16,78.73,30.91,1.45,0
20180717:0830,1460.6,91.36,297.57,5.17,67.7,31.61,0.97,0
20180717:0930,1481.85,121.94,274.07,5.31,54.99,31.69,0.48,0
20180717:1030,1002.25,67.25,205.28,3.73,42.02,32.14,0.48,0
20180717:1130,687.65,60.03,134.84,2.85,29.11,31.63,1.59,0
20180717:1230,289.4,6.92,86.34,1.37,16.43,31.35,2.21,0
20180717:1330,30.85,0,18.5,0.26,4.14,30.89,1.45,0
20180717:1430,0,0,0,0,0,30.12,1.1,0
20180717:1530,0,0,0,0,0,29.47,1.17,0
20180717:1630,0,0,0,0,0,28.86,0.97,0
20180717:1730,0,0,0,0,0,28.39,0.83,0
20180717:1830,0,0,0,0,0,28.13,0.62,0
20180717:1930,0,0,0,0,0,28,0.97,0
20180717:2030,0,0,0,0,0,28.1,1.38,0
20180717:2130,0,0,0,0,0,27.99,1.31,0
20180717:2230,0,0,0,0,0,27.69,1.1,0
20180717:2330,0,0,0,0,0,27.56,1.03,0
20180718:0030,30.95,0,18.32,0.26,4.48,27.48,1.1,0
20180718:0130,249.5,24.22,64.13,1.57,16.79,27.73,0.76,0
20180718:0230,728.9,97.31,108.13,3.11,29.49,29.23,0.62,0
20180718:0330,1264.7,163.28,174.25,4.71,42.41,30.38,0.21,0
20180718:0430,1630.15,233.87,199.34,5.84,55.38,31.59,0.34,0
20180718:0530,2242.4,378.23,217.49,7.87,68.05,32.1,1.24,0
20180718:0630,2437.75,357.45,296.03,8.54,78.87,32.42,1.38,0
20180718:0730,1884.25,234.12,260.64,6.5,78.6,32.51,2.34,0
20180718:0830,1860.7,219.55,270.19,6.47,67.64,32.07,1.93,0
20180718:0930,1306.4,138.91,206.42,4.64,54.94,32.14,1.93,0
20180718:1030,530.65,5.77,145.77,2.03,41.97,31.43,2.07,0
20180718:1130,255.65,0.93,80.37,1.09,29.06,29.97,2.21,0
20180718:1230,144.85,0.79,51.43,0.71,16.37,29.39,1.93,0
20180718:1330,15.7,0,12.93,0.18,4.07,29.11,1.59,0
20180718:1430,0,0,0,0,0,28.55,1.52,0
20180718:1530,0,0,0,0,0,27.97,2,0
20180718:1630,0,0,0,0,0,27.67,1.86,0
20180718:1730,0,0,0,0,0,27.41,1.79,0
20180718:1830,0,0,0,0,0,27.14,1.45,0
20180718:1930,0,0,0,0,0,27.16,0.69,0
20180718:2030,0,0,0,0,0,27.12,1.03,0
20180718:2130,0,0,0,0,0,27.07,1.31,0
20180718:2230,0,0,0,0,0,26.9,1.24,0
20180718:2330,0,0,0,0,0,26.76,1.31,0
20180719:0030,6.45,0,9.03,0.13,4.37,26.57,1.52,0
20180719:0130,70.05,1.89,29.29,0.45,16.7,26.5,1.59,0
20180719:0230,329.45,25.23,74.91,1.43,29.41,26.66,1.31,0
20180719:0330,369.4,11.68,97.25,1.47,42.33,27.05,0.69,0
20180719:0430,374.2,1.55,108.74,1.48,55.29,27.34,1.31,0
20180719:0530,386.05,0,113.27,1.52,67.95,27.48,1.79,0
20180719:0630,2624.65,407.71,276.12,8.93,78.72,27.65,1.86,0
20180719:0730,2892.35,558.69,235.92,10.37,78.47,32.03,0.69,0
20180719:0830,2535.4,444.01,256.97,9.24,67.57,33.45,0.14,0
20180719:0930,2236,398.17,205.02,8.15,54.89,33.88,0.97,0
20180719:1030,1437,212.29,172.6,5.4,41.92,33.98,1.66,0
20180719:1130,731.95,91.54,118.18,3.15,29.01,33.33,1.1,0
20180719:1230,247.75,18.88,69.02,1.5,16.31,32.65,0.76,0
20180719:1330,18.4,0,14.1,0.2,3.99,32.15,0.62,0
20180719:1430,0,0,0,0,0,31.07,1.45,0
20180719:1530,0,0,0,0,0,30.32,0.83,0
20180719:1630,0,0,0,0,0,29.65,1.31,0
20180719:1730,0,0,0,0,0,29.11,1.66,0
20180719:1830,0,0,0,0,0,28.65,1.38,0
20180719:1930,0,0,0,0,0,28.23,1.1,0
20180719:2030,0,0,0,0,0,27.89,1.24,0
20180719:2130,0,0,0,0,0,27.62,1.24,0
20180719:2230,0,0,0,0,0,27.38,1.24,0
20180719:2330,0,0,0,0,0,27.17,1.24,0
20180720:0030,35.95,0,19.94,0.28,4.26,26.9,1.17,0
20180720:0130,319.7,33.9,75.85,2.02,16.6,27.18,0.69,0
20180720:0230,1002.2,162.9,114.8,4.31,29.32,29.12,0.69,0
20180720:0330,1728,311.93,147.11,6.5,42.25,30.61,0.55,0
20180720:0430,2353,452.9,177.98,8.52,55.2,31.79,0.76,0
20180720:0530,2699.85,533,207.53,9.76,67.85,32.61,0.48,0
20180720:0630,937.4,29.03,228.15,3.43,78.56,33.41,0.55,0
20180720:0730,1488.8,137.63,253.06,5.15,78.33,31.07,1.86,0
20180720:0830,1900.85,264.51,232.11,6.55,67.49,31.26,2,0
20180720:0930,2035.65,303.02,231.22,7.18,54.83,31.62,2.07,0
20180720:1030,1065.9,114.42,171.08,3.95,41.87,31.71,1.72,0
20180720:1130,610.2,62.62,112.1,2.57,28.95,31.18,2.41,0
20180720:1230,132.1,3.09,46.86,0.72,16.24,30.82,2,0
20180720:1330,4.5,0,8.22,0.11,3.91,30.12,1.31,0
20180720:1430,0,0,0,0,0,29.46,1.24,0
20180720:1530,0,0,0,0,0,28.89,1.31,0
20180720:1630,0,0,0,0,0,28.53,0.97,0
20180720:1730,0,0,0,0,0,28.19,1.17,0
20180720:1830,0,0,0,0,0,27.93,1.03,0
